Acidobacteria bacterium JGI SII2013c,1469947
Acidobacteria bacterium JGI SII2013d,1469945
Acidobacteria bacterium KF4-01/2,1030671
Acidobacteria bacterium KF4-02/2,1030672
Acidobacteria bacterium KF4-03/2,1030673
Acidobacteria bacterium KF4-07/1,1030696
Acidobacteria bacterium KF4-09/1,1030697
Acidobacteria bacterium KF4-09/2,1030674
Acidobacteria bacterium KF4-10/1,1030698
Acidobacteria bacterium KF4-10/2,1030675
Acidobacteria bacterium KF4-11/2,1030676
Acidobacteria bacterium KF4-12/2,1030677
Acidobacteria bacterium KF4-13/2,1030678
Acidobacteria bacterium KF4-14/2,1030679
Acidobacteria bacterium KF4-15/1,1030699
Acidobacteria bacterium KF4-15/2,1030680
Acidobacteria bacterium KF4-16/1,1030700
Acidobacteria bacterium KF4-16/2,1030681
Acidobacteria bacterium KF4-17/2,1030682
Acidobacteria bacterium KF4-18/2,1030683
Acidobacteria bacterium KF4-19/1,1030701
Acidobacteria bacterium KF4-19/2,1030684
Acidobacteria bacterium KF4-20/1,1030702
Acidobacteria bacterium KF4-20/2,1030685
Acidobacteria bacterium KF4-21/2,1030686
Acidobacteria bacterium KF4-22/2,1030687
Acidobacteria bacterium KF4-23/2,1030688
Acidobacteria bacterium KF4-24/2,1030689
Acidobacteria bacterium KF4-26/2,1030690
Acidobacteria bacterium KF4-27/2,1030691
Acidobacteria bacterium KF4-28/2,1030692
Acidobacteria bacterium KF4-29/2,1030693
Acidobacteria bacterium KF4-30/2,1030694
Acidobacteria bacterium KF4-31/2,1030695
Acidobacteria bacterium KMR,474948
Acidobacteria bacterium L520_HBm,409635
Acidobacteria bacterium L768_HDm,409636
Acidobacteria bacterium L830_HCm,409637
Acidobacteria bacterium L836_HDm,409638
Acidobacteria bacterium L840c_HEm,409644
Acidobacteria bacterium L840d_HEm,409645
Acidobacteria bacterium L841_HEm,409639
Acidobacteria bacterium L842_HEm,409640
Acidobacteria bacterium L850a_HGm,409646
Acidobacteria bacterium L852_HGm,409641
Acidobacteria bacterium L874_CGt,409642
Acidobacteria bacterium L877_CFt,409643
Acidobacteria bacterium LP6,1391515
Acidobacteria bacterium LWH4,1387457
Acidobacteria bacterium LWQ117,1391516
Acidobacteria bacterium LWQ13,1387458
Acidobacteria bacterium LWQ4,1387459
Acidobacteria bacterium LX128,1387460
Acidobacteria bacterium LX219,1391517
Acidobacteria bacterium LX3,1387461
Acidobacteria bacterium N3B,1050361
Acidobacteria bacterium NiG10,1576442
Acidobacteria bacterium OLB17,1617423
Acidobacteria bacterium RBG_13_68_16,1797171
Acidobacteria bacterium RBG_16_64_8,1797172
Acidobacteria bacterium RBG_16_68_9,1797173
Acidobacteria bacterium RBG_16_70_10,1797174
Acidobacteria bacterium REF-03,1030703
Acidobacteria bacterium REF-04,1030704
Acidobacteria bacterium REF-05,1030705
Acidobacteria bacterium REF-06,1030706
Acidobacteria bacterium REF-07,1030707
Acidobacteria bacterium REF-10,1030708
Acidobacteria bacterium REF-11,1030709
Acidobacteria bacterium REF-12,1030710
Acidobacteria bacterium REF-13,1030711
Acidobacteria bacterium REF-14,1030712
Acidobacteria bacterium REF-17,1030713
Acidobacteria bacterium REF-18,1030714
Acidobacteria bacterium REF-19,1030715
Acidobacteria bacterium REF-21,1030716
Acidobacteria bacterium REF-22,1030717
Acidobacteria bacterium REF-23,1030718
Acidobacteria bacterium REF-24,1030719
Acidobacteria bacterium REF-27,1030720
Acidobacteria bacterium REF-30,1030721
Acidobacteria bacterium REF-31,1030722
Acidobacteria bacterium REF-32,1030723
Acidobacteria bacterium REF-33,1030724
Acidobacteria bacterium REF-37,1030725
Acidobacteria bacterium REF-38,1030726
Acidobacteria bacterium REF-39,1030727
Acidobacteria bacterium RIFCSPHIGHO2_01_FULL_67_28,1797175
Acidobacteria bacterium RIFCSPHIGHO2_02_FULL_67_57,1797176
Acidobacteria bacterium RIFCSPHIGHO2_12_FULL_67_30,1797177
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_59_13,1797178
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_60_20,1797179
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_61_28,1797180
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15,1797181
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29,1797182
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21,1797183
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36,1797184
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_68_18,1797185
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_54_10,1797186
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_59_11,1797187
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_60_22,1797188
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11,1797189
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_10,1797190
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21,1797191
